"This case is exactly what I needed, something to protect the not-so-durable charging case the earbuds come with. It’s hard and secure and everything fits in it nice a snug. Don’t listen to the reviews about it not fitting in pockets well, THAT IS NOT WHAT THIS CASE IS FOR! This case is for clipping to bags or carrying in gym bags and backpacks. It’s to protect your charging case whenever you don’t want it in your pocket.",5.0 out of 5 stars
"Pretty nice case for the SMTW. My only complaint it’s a bit bulky to put in a pocket st times, but it’s a solid case that’s for sure. It’s very well made. The little clip to go on a keychain is kinda cheapish, but it’s a bit bulky for a keychain anyhow imho.",4.0 out of 5 stars
"It is an attractive case and the color matches the original. It seems to be built nicely, though I would (easily) substitute a different hook for their cheap one. It has a handy pocket for peripherals. It has a fairly hard shell and a snug fit, removable with a cloth ribbon, so protects the original case well, but is its downfall. If not careful, the button for checking the charge can depress. I went from a full charge to completely dead empty sitting for a day. If I put the ribbon immediately next to the button it's fine. I just look down the side for the LED light. Otherwise, it's a nice case.",4.0 out of 5 stars
My husband travels and goes to the gym and this is perfect for keeping his earbuds and charger and everything in one place… Very nice quality and looks very sleek,5.0 out of 5 stars
It can be a bit bulky if carrying it on your pants pocket. But it's something good to have you want to protect your charging case. It feels smooth but strong enough to protect your case.,5.0 out of 5 stars
"Exelente producto, igual como lo promocionan. Me gustó. Ahora podre proteger mis audífonos mejor. Lo recomiendo.",5.0 out of 5 stars
Excellent product,5.0 out of 5 stars
Protects my ear buds,5.0 out of 5 stars
This product is a solid buy. It's great for traveling but I do not recommend for you to carry this case in your pocket.,4.0 out of 5 stars
Great case! Employee #8 Approved!,5.0 out of 5 stars
The case works really nicely to protect the headphones and it matches the color nicely. Has enough room for the headphones additional ear pieces and the charger cord.,5.0 out of 5 stars
I liked it’s compact size but disliked how tooo compact it is,3.0 out of 5 stars
"The product works exactly as advertised, and I would highly recommend it to anyone looking for a truly wireless earbud experience.",5.0 out of 5 stars
"Every easy to use , a little expensive",5.0 out of 5 stars
Very cheaply made and overpriced but it does protect the ear bud case.,2.0 out of 5 stars
Fits the charging case and a small usb charging cord or spare rubber ear inserts!,5.0 out of 5 stars
Love the case.,5.0 out of 5 stars
it's very big case I thought it will be in small size,3.0 out of 5 stars
Very good build quality and large enough to fit all earbud components.,5.0 out of 5 stars
The case fit perfectly everything fine,5.0 out of 5 stars
Good product,5.0 out of 5 stars
This is the perfect case for these expensive high quality earbuds,5.0 out of 5 stars
Exactly as advertised.,5.0 out of 5 stars
Excellent stuff,5.0 out of 5 stars
Offers good protection for the Sennheiser casing . There is a strap to lift up the casing more easily and an external hook to the keychain,5.0 out of 5 stars
"It's solid, has a hard a shell on both sides and actually looks pretty good... that's it. It's tight, too tight.. The moment case itself has a function where if you hold the little button at the back for longer than 10 seconds it turns itself off, so it won't charge the earphones and will seem that it has no life. As the case is so tight this always happens meaning your earphones will not charge in the case and the case will seem to hold no charge. It's not worth the hassle.",2.0 out of 5 stars
